run_id,pipeline,segment,speaker,source,sentence_type,quote_intent,passage_ref,quote_text,verified,match_ratio,match_chapter,match_snippet
emb_v01_baseline,embedding,The Fog and What It Hides,James Blackstone,tagged,quote_reading,quotation,c1:p1,"Fog everywhere. Fog up the river, where it flows among green aits and meadows; fog down the river, where it rolls defiled among the tiers of shipping and the waterside pollutions of a great (and dirty) city.",True,1.000,c1,"compound interest.
Fog everywhere. Fog up the river, where it flows among green aits and
meadows; fog down the river, where it rolls defiled among the tiers
of shipping and the waterside pollutions of"
emb_v01_baseline,embedding,The Fog and What It Hides,Eleanor Hartley,inline,analysis,repetition,c1:p1,Fog up the river... fog down the river... fog on the Essex marshes... fog on the Kentish heights.,False,0.587,c1,"aterside pollutions of a great (and dirty) city.
Fog on the Essex marshes, fog on the Kentish heights. Fog creeping
into the cabooses of"
emb_v01_baseline,embedding,The Fog and What It Hides,Eleanor Hartley,tagged,quote_reading,quotation,c1:p1,Fog cruelly pinching the toes and fingers of his shivering little 'prentice boy on deck.,True,1.000,c1,"n his close cabin; fog cruelly pinching the toes and fingers of
his shivering little ’prentice boy on deck. Chance people on the"
emb_v01_baseline,embedding,The Fog and What It Hides,Caroline Woodcourt,inline,analysis,quotation,c1:p1,"ancient Greenwich pensioners, wheezing by the firesides of their wards",True,1.000,c1,"yes and throats of ancient
Greenwich pensioners, wheezing by the firesides of their wards; fog
in the stem and"
emb_v01_baseline,embedding,The Fog and What It Hides,James Blackstone,tagged,quote_reading,quotation,c1:p3,"The raw afternoon is rawest, and the dense fog is densest, and the muddy streets are muddiest near that leaden-headed old obstruction, appropriate ornament for the threshold of a leaden-headed old corporation, Temple Bar.",True,1.000,c1,"d unwilling
look.
The raw afternoon is rawest, and the dense fog is densest, and the
muddy streets are muddiest near that leaden-headed old obstruction,
appropriate ornament for the threshold of a lea"
emb_v01_baseline,embedding,The Fog and What It Hides,Eleanor Hartley,tagged,quote_reading,quotation,c1:p5,"This is the Court of Chancery, which has its decaying houses and its blighted lands in every shire, which has its worn-out lunatic in every madhouse and its dead in every churchyard, which has its ruined suitor with his slipshod heels and threadbare dress borrowing and begging through the round of e",True,0.886,c1,"the
Court of Chancery, which has its decaying houses and its blighted
lands in every shire, which has its worn-out lunatic in every
madhouse and its dead in every churchyard, which has its ruined
suit"
emb_v01_baseline,embedding,The Fog and What It Hides,Caroline Woodcourt,inline,analysis,uncertain,c1:p5,worn-out lunatic in every madhouse,True,1.000,c1,"ich has its worn-out lunatic in every
madhouse and its dead in every churc"
emb_v01_baseline,embedding,The Fog and What It Hides,Caroline Woodcourt,inline,analysis,uncertain,c1:p5,Suffer any wrong that can be done you rather than come here,True,1.000,c1,"warning, “Suffer any wrong that can be done you rather than come
here!”
Who happen to be in the Lor"
emb_v01_baseline,embedding,The Fog and What It Hides,James Blackstone,inline,analysis,quotation,c1:p5,"mountains of costly nonsense,",True,1.000,c1,"s’ reports, mountains of costly
nonsense, piled before them. Well may"
emb_v01_baseline,embedding,The Fog and What It Hides,Caroline Woodcourt,tagged,quote_reading,quotation,c29:p0,The dead and buried Dedlocks walk there in the long nights and leave the flavour of their graves behind them.,True,1.000,c29,"er, suggesting that the dead and
buried Dedlocks walk there in the long nights and leave the flavour
of their graves behind them.
But the house in to"
emb_v01_baseline,embedding,The Fog and What It Hides,Caroline Woodcourt,inline,analysis,uncertain,c29:p0,The flavour of their graves,True,1.000,c29,"ng nights and leave the flavour
of their graves behind them.
But th"
emb_v01_baseline,embedding,Richard's Gamble: The Slow Unraveling,Eleanor Hartley,tagged,quote_reading,quotation,c17:p0,"They were good qualities, without which no high place can be meritoriously won, but like fire and water, though excellent servants, they were very bad masters.",True,1.000,c17,"o direct and train. They
were good qualities, without which no high place can be meritoriously
won, but like fire and water, though excellent servants, they were
very bad masters. If they had been un"
emb_v01_baseline,embedding,Richard's Gamble: The Slow Unraveling,Eleanor Hartley,tagged,quote_reading,quotation,c39:p43,"On many such loungers have the speckled shadows of those trees often fallen; on the like bent head, the bitten nail, the lowering eye, the lingering step, the purposeless and dreamy air, the good consuming and consumed, the life turned sour.",True,1.000,c39,"uch
loungers have the speckled shadows of those trees often fallen; on
the like bent head, the bitten nail, the lowering eye, the lingering
step, the purposeless and dreamy air, the good consuming and"
emb_v01_baseline,embedding,Richard's Gamble: The Slow Unraveling,James Blackstone,tagged,quote_reading,quotation,c39:p43,"Chancery, which knows no wisdom but in precedent, is very rich in such precedents; and why should one be different from ten thousand?",True,1.000,c39,"which knows no wisdom but in precedent, is
very rich in such precedents; and why should one be different from
ten thousand?
Yet the time is so short since his depreciation"
emb_v01_baseline,embedding,Richard's Gamble: The Slow Unraveling,Caroline Woodcourt,tagged,quote_reading,quotation,c39:p44,injustice breeds injustice; the fighting with shadows and being defeated by them necessitates the setting up of substances to combat.,True,0.883,c39,"he fighting with shadows and being
defeated by them necessitates the setting up of substances to combat;
from the impalpable suit which no man alive can understand, the time"
emb_v01_baseline,embedding,Richard's Gamble: The Slow Unraveling,Eleanor Hartley,tagged,quote_reading,quotation,c51:p27,"I have not intended to do much harm, but I seem to have been capable of nothing else.",True,1.000,c51,"this long time. I
have not intended to do much harm, but I seem to have been capable of
nothing else. It may be that I shoul"
emb_v01_baseline,embedding,Richard's Gamble: The Slow Unraveling,Eleanor Hartley,tagged,quote_reading,quotation,c51:p27,"It may be that I should have done better by keeping out of the net into which my destiny has worked me, but I think not.",True,0.881,c51,"may be that I should have done better by keeping out
of the net into which my destiny has worked me, but I think not,
though I dare say you will soon hear, if"
emb_v01_baseline,embedding,Richard's Gamble: The Slow Unraveling,Caroline Woodcourt,tagged,quote_reading,quotation,c60:p96,"There is a ruin of youth which is not like age, and into such a ruin Richard's youth and youthful beauty had all fallen away.",True,1.000,c60,"here is a ruin of youth which is not
like age, and into such a ruin Richard’s youth and youthful beauty
had all fallen away.
He ate little and seemed indifferent wha"
