run_id,pipeline,speaker,segment,confab_type,quote_text,original_ratio,match_rank,match_chapter,match_ratio,match_snippet
emb_v05_craft_v2,embedding,Eleanor Hartley,A Matter of Blood and Silence: Lady Dedlock's Secret Unravels,blend,"""My Lady Dedlock, who is childless"" — tucked into the sentence almost as an afterthought.",0.000,1,c16,0.505,"My Lady Dedlock is restless, very restless. The astonished
fashionable intelligence hardly knows where to have her. To-day she
is at Chesney Wold; yes"
emb_v05_craft_v2,embedding,Eleanor Hartley,A Matter of Blood and Silence: Lady Dedlock's Secret Unravels,blend,"""My Lady Dedlock, who is childless"" — tucked into the sentence almost as an afterthought.",0.000,2,c2,0.485,"ncient Dedlocks in their graves. My Lady Dedlock (who is
childless), looking out in the early twilight from her boudoir at a
keeper’s lodge and seeing the light"
emb_v05_craft_v2,embedding,Eleanor Hartley,A Matter of Blood and Silence: Lady Dedlock's Secret Unravels,blend,"""My Lady Dedlock, who is childless"" — tucked into the sentence almost as an afterthought.",0.000,3,c7,0.475,"y, who is afraid of
nothing, admits that when it is there, it must be heard. You cannot
shut it out. Watt, there is a tall French clock behind you (placed
there"
emb_v05_craft_v2,embedding,Eleanor Hartley,A Matter of Blood and Silence: Lady Dedlock's Secret Unravels,blend,"""My Lady Dedlock, who is childless"" — tucked into the sentence almost as an afterthought.",0.000,4,c39,0.446,"object. Still, when you say
there is no change for the better, I must, as a bare matter of fact,
deny that.”
“Aye?” returns Richard, brightening. “But how do yo"
emb_v05_craft_v2,embedding,Eleanor Hartley,A Matter of Blood and Silence: Lady Dedlock's Secret Unravels,blend,"""My Lady Dedlock, who is childless"" — tucked into the sentence almost as an afterthought.",0.000,5,c9,0.436,"lad to
see the man who may undertake to do it.’ The fellow sends a most
abandoned villain with one eye to construct a gateway. I play upon
that execrable scound"
emb_v15_trevelyan_for_hartley,embedding,Caroline Woodcourt,Richard's Slide: The Corruption Within,blend,And then he says: 'I have an object now — or it has me.',0.000,1,c51,0.516,"but I have an object now—or it has me—and
it is too late to discuss it. Take me as I am, and make the best of
me.”
“A bargain,"
emb_v15_trevelyan_for_hartley,embedding,Caroline Woodcourt,Richard's Slide: The Corruption Within,blend,And then he says: 'I have an object now — or it has me.',0.000,2,c24,0.500,"s.
He said that if we had no objection to see his comrade, he would take
a visit from us very kindly. The words had hardly pass"
emb_v15_trevelyan_for_hartley,embedding,Caroline Woodcourt,Richard's Slide: The Corruption Within,blend,And then he says: 'I have an object now — or it has me.',0.000,3,c11,0.469,"n, “that I no more know where he came
from than I  know—”
“Where he has gone to, perhaps,” suggests the surgeon to help him
out"
emb_v15_trevelyan_for_hartley,embedding,Caroline Woodcourt,Richard's Slide: The Corruption Within,blend,And then he says: 'I have an object now — or it has me.',0.000,4,c16,0.469,"oved,
sir. Other men’s fathers may have died of the rheumatism or may have
taken base contagion from the tainted blood of the s"
emb_v15_trevelyan_for_hartley,embedding,Caroline Woodcourt,Richard's Slide: The Corruption Within,blend,And then he says: 'I have an object now — or it has me.',0.000,5,c54,0.469,"m his own
way, I haven’t a doubt; but he was fetched off the box head-foremost,
and now they have got their legs over the trace"
